188,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS
189,10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368)
190,10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA)
191,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS)
192,10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS
193,10X434,BELMONT PREPARATORY HIGH SCHOOL
194,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS
195,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY
196,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE
197,10X440,DEWITT CLINTON HIGH SCHOOL
198,10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE"
199,10X445,BRONX HIGH SCHOOL OF SCIENCE
200,10X475,JOHN F. KENNEDY HIGH SCHOOL
201,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES
202,10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY
203,10X546,BRONX THEATRE HIGH SCHOOL
204,10X549,DISCOVERY HIGH SCHOOL
205,10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
206,10X667,GRACE DODGE YABC
207,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE
208,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL
209,11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS
210,11X265,BRONX LAB SCHOOL
211,11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL
212,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY
213,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE
214,11X290,BRONX ACADEMY OF HEALTH CAREERS
215,11X299,ASTOR COLLEGIATE ACADEMY
216,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL
217,11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS
218,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS
219,11X455,HARRY S TRUMAN HIGH SCHOOL
220,11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL
221,11X513,NEW WORLD HIGH SCHOOL
222,11X514,THE BRONXWOOD PREPARATORY ACADEMY
223,11X541,GLOBAL ENTERPRISE HIGH SCHOOL
224,11X542,PELHAM PREPARATORY ACADEMY
225,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS
226,11X545,BRONX AEROSPACE HIGH SCHOOL
227,12X245,NEW DAY ACADEMY
228,12X248,"METROPOLITAN HIGH SCHOOL, THE"
229,12X251,EXPLORATIONS ACADEMY
230,12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL
231,12X267,BRONX LATIN
232,12X271,EAST BRONX ACADEMY FOR THE FUTURE
233,12X278,PEACE AND DIVERSITY ACADEMY
234,12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE
235,12X428,LEARNING TO WORK YABC AT MONROE ACADEMY
236,12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX
237,12X478,THE CINEMA SCHOOL
238,12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL
239,12X480,BRONX REGIONAL HIGH SCHOOL
240,12X550,HIGH SCHOOL OF WORLD CULTURES
241,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL
242,12X684,WINGS ACADEMY
243,12X690,MONROE ACADEMY FOR BUSINESS/LAW
244,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN
245,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS
246,13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT
247,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART
248,13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA"
249,13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS"
250,13K430,BROOKLYN TECHNICAL HIGH SCHOOL
251,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL
252,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE
253,13K499,ACORN COMMUNITY HIGH SCHOOL
254,13K509,FREEDOM ACADEMY HIGH SCHOOL
255,13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN
256,13K553,BROOKLYN ACADEMY HIGH SCHOOL
257,13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL
258,13K595,BEDFORD ACADEMY HIGH SCHOOL
259,13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
260,13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE
261,13K670,BENJAMIN BANNEKER ACADEMY
262,13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY"
263,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL
264,14K322,FOUNDATIONS ACADEMY
265,14K404,ACADEMY FOR YOUNG WRITERS
266,14K449,"BROOKLYN LATIN SCHOOL, THE"
267,14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS
268,14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS
